time,open,high,low,close,volume
2023-05-01 19:00:00,415.0,415.13,414.96,415.0,33974
2023-05-01 18:00:00,415.0,415.1,414.78,415.04,46190
2023-05-01 17:00:00,414.97,415.15,414.96,415.01,172783
2023-05-01 16:00:00,415.53,416.2898,414.93,415.05,4563327
2023-05-01 15:00:00,416.08,416.22,415.265,415.53,14342651
2023-05-01 14:00:00,417.03,417.13,415.42,416.08,8105607
2023-05-01 13:00:00,417.19,417.33,416.625,417.03,5524328
2023-05-01 12:00:00,416.33,417.62,416.295,417.16,5506079
2023-05-01 11:00:00,416.96,417.14,415.57,416.3499,7182206
2023-05-01 10:00:00,416.36,417.07,415.77,416.9599,8447202
2023-05-01 09:00:00,415.69,416.7299,415.2,416.3899,6331541
2023-05-01 08:00:00,415.91,416.34,415.27,415.73,312467
2023-05-01 07:00:00,415.9,415.949,415.4,415.42,173064
2023-05-01 06:00:00,415.99,416.04,415.62,415.9,58463
2023-05-01 05:00:00,415.81,416.14,415.79,416.0,77220
2023-05-01 04:00:00,416.15,416.15,415.58,415.7,227166
2023-04-28 19:00:00,416.1,416.18,416.04,416.17,29734
2023-04-28 18:00:00,415.6,416.24,415.51,416.13,87687
2023-04-28 17:00:00,416.05,416.08,415.6,415.6,1126676
2023-04-28 16:00:00,415.92,416.31,414.4723,416.0,9978609
2023-04-28 15:00:00,414.8,415.94,414.64,415.93,18961481
2023-04-28 14:00:00,414.955,415.48,414.11,414.8,9796712
2023-04-28 13:00:00,415.45,415.545,414.55,414.9475,6211749
2023-04-28 12:00:00,414.745,415.54,414.365,415.46,6353967
2023-04-28 11:00:00,413.23,414.87,412.31,414.7489,7826164
2023-04-28 10:00:00,412.49,414.81,412.34,413.249,17742754
2023-04-28 09:00:00,411.34,412.77,411.31,412.54,7213226
2023-04-28 08:00:00,411.0,413.0,410.3204,411.33,1132695
2023-04-28 07:00:00,410.77,411.29,410.73,410.82,578198
2023-04-28 06:00:00,411.0,411.17,410.75,410.75,36100
2023-04-28 05:00:00,410.53,411.1,410.22,411.02,383086
2023-04-28 04:00:00,411.51,411.51,410.46,410.58,104293
2023-04-27 19:00:00,411.94,412.21,411.81,411.86,87349
2023-04-27 18:00:00,411.94,412.24,411.68,411.88,214250
2023-04-27 17:00:00,412.79,412.99,411.8,411.87,1048014
2023-04-27 16:00:00,412.4,413.57,410.4774,412.8,10787907
2023-04-27 15:00:00,412.48,412.69,412.07,412.4,22503998
2023-04-27 14:00:00,410.78,412.5,410.74,412.47,11725446
2023-04-27 13:00:00,409.76,411.149,409.57,410.77,7808956
2023-04-27 12:00:00,409.17,409.85,409.16,409.755,6781237
2023-04-27 11:00:00,407.71,409.21,407.45,409.17,8221688
2023-04-27 10:00:00,407.56,408.57,407.43,407.699,11606915
2023-04-27 09:00:00,407.02,407.85,406.74,407.56,8877252
2023-04-27 08:00:00,406.88,407.57,405.73,406.98,839222
2023-04-27 07:00:00,406.83,407.11,406.4,406.91,272416
2023-04-27 06:00:00,406.56,406.82,406.35,406.8,42973
2023-04-27 05:00:00,406.63,406.72,406.45,406.45,21387
2023-04-27 04:00:00,406.06,406.7,406.06,406.65,24088
2023-04-26 19:00:00,405.34,405.42,405.19,405.42,25946
2023-04-26 18:00:00,405.6,405.6,404.36,405.34,572045
2023-04-26 17:00:00,405.35,405.64,404.36,405.6,172075
2023-04-26 16:00:00,404.37,405.7462,404.29,405.36,7891267
2023-04-26 15:00:00,404.37,404.96,403.78,404.37,18677983
2023-04-26 14:00:00,405.28,405.3485,404.09,404.36,8867707
