time,open,high,low,close,volume
2023-05-02 19:59:00,410.99,411.0,410.98,411.0,7669
2023-05-02 19:58:00,410.98,411.0,410.98,410.98,2719
2023-05-02 19:57:00,410.96,410.96,410.96,410.96,566
2023-05-02 19:55:00,410.93,411.0,410.93,411.0,11382
2023-05-02 19:54:00,410.95,410.96,410.93,410.93,748
2023-05-02 19:53:00,410.93,410.95,410.93,410.93,2408
2023-05-02 19:52:00,410.9,410.91,410.9,410.91,1808
2023-05-02 19:51:00,410.9,410.92,410.9,410.92,353
2023-05-02 19:50:00,410.94,410.94,410.9,410.92,1185
2023-05-02 19:49:00,410.9,410.94,410.89,410.94,4059
2023-05-02 19:48:00,410.87,410.87,410.87,410.87,2020
2023-05-02 19:47:00,410.83,410.83,410.83,410.83,1890
2023-05-02 19:46:00,410.82,410.82,410.82,410.82,315
2023-05-02 19:45:00,410.8,410.8,410.8,410.8,302
2023-05-02 19:44:00,410.82,410.84,410.82,410.84,10198
2023-05-02 19:43:00,410.83,410.83,410.79,410.79,877
2023-05-02 19:42:00,410.82,410.82,410.82,410.82,3344
2023-05-02 19:41:00,410.75,410.8,410.75,410.8,10077
2023-05-02 19:40:00,410.76,410.76,410.76,410.76,481
2023-05-02 19:39:00,410.73,410.76,410.73,410.76,10345
2023-05-02 19:38:00,410.76,410.76,410.76,410.76,913
2023-05-02 19:37:00,410.82,410.82,410.82,410.82,711
2023-05-02 19:36:00,410.81,410.81,410.81,410.81,3257
2023-05-02 19:35:00,410.79,410.81,410.79,410.81,4942
2023-05-02 19:34:00,410.79,410.79,410.78,410.78,4500
2023-05-02 19:33:00,410.78,410.78,410.78,410.78,311
2023-05-02 19:32:00,410.78,410.78,410.78,410.78,378
2023-05-02 19:31:00,410.79,410.79,410.79,410.79,1020
2023-05-02 19:30:00,410.78,410.8,410.78,410.8,1261
2023-05-02 19:29:00,410.78,410.78,410.78,410.78,375
2023-05-02 19:27:00,410.78,410.81,410.78,410.81,10971
2023-05-02 19:24:00,410.75,410.78,410.75,410.78,1441
2023-05-02 19:23:00,410.74,410.74,410.74,410.74,828
2023-05-02 19:22:00,410.73,410.75,410.73,410.74,592
2023-05-02 19:20:00,410.74,410.74,410.74,410.74,649
2023-05-02 19:19:00,410.71,410.72,410.71,410.72,2400
2023-05-02 19:17:00,410.71,410.71,410.71,410.71,501
2023-05-02 19:16:00,410.68,410.68,410.68,410.68,685
2023-05-02 19:15:00,410.66,410.67,410.66,410.67,469
2023-05-02 19:14:00,410.64,410.66,410.64,410.66,5373
2023-05-02 19:13:00,410.64,410.64,410.64,410.64,3904
2023-05-02 19:12:00,410.64,410.64,410.64,410.64,1108
