time,open,high,low,close,volume
2023-05-31 20:00:00,418.41,418.41,418.41,418.41,1900
2023-05-31 19:00:00,418.1,418.45,417.97,418.4,68827
2023-05-31 18:00:00,417.74,418.08,417.67,418.08,1131231
2023-05-31 17:00:00,417.6999,417.85,417.62,417.66,171141
2023-05-31 16:00:00,417.74,418.15,417.47,417.64,19731122
2023-05-31 15:00:00,418.13,419.13,417.57,417.83,35075438
2023-05-31 14:00:00,418.31,418.72,417.58,418.13,9326418
2023-05-31 13:00:00,417.05,418.49,416.9,418.31,8434281
2023-05-31 12:00:00,416.755,417.41,416.44,417.05,5383813
2023-05-31 11:00:00,416.86,417.08,416.22,416.75,7250181
2023-05-31 10:00:00,418.17,418.3,416.322,416.84,13425656
2023-05-31 09:00:00,418.22,419.22,418.03,418.1391,7129482
2023-05-31 08:00:00,419.39,420.31,418.1,418.2,253139
2023-05-31 07:00:00,419.41,419.49,418.44,418.5,345523
2023-05-31 06:00:00,419.29,419.44,418.86,419.38,189485
2023-05-31 05:00:00,419.59,419.8,419.2,419.2,18176
2023-05-31 04:00:00,419.23,419.51,418.85,419.39,26029
2023-05-30 19:00:00,420.03,420.48,420.03,420.32,41435
2023-05-30 18:00:00,419.9,420.1,419.77,420.02,46108
2023-05-30 17:00:00,420.06,420.25,419.76,419.85,249990
2023-05-30 16:00:00,420.16,420.46,420.08,420.18,5622693
2023-05-30 15:00:00,420.215,420.6,419.618,420.17,15885996
2023-05-30 14:00:00,419.01,420.975,418.735,420.2154,8554463
2023-05-30 13:00:00,420.53,420.54,418.935,419.015,7344097
2023-05-30 12:00:00,420.7169,420.78,419.48,420.52,6235932
2023-05-30 11:00:00,420.68,421.1,419.68,420.7071,7095165
2023-05-30 10:00:00,421.36,421.98,420.19,420.68,10725839
2023-05-30 09:00:00,422.4701,422.59,421.065,421.3301,8610822
2023-05-30 08:00:00,422.2001,422.99,421.04,422.45,498063
2023-05-30 07:00:00,422.16,422.72,421.84,422.45,259156
2023-05-30 06:00:00,422.4,422.54,422.19,422.19,39791
2023-05-30 05:00:00,422.06,422.59,422.06,422.43,50034
2023-05-30 04:00:00,421.51,422.21,421.51,422.08,70032
2023-05-26 19:00:00,420.4,421.0,420.38,420.49,36114
2023-05-26 18:00:00,420.29,420.37,420.02,420.35,96870
